"name","street_address","city_state_zip","lon","lat"
"39th & Fox","3965 Fox St","Denver, CO 80216",-104.995,39.7712
"32nd & Pecos","3200 Pecos St","Denver, CO 80211",-105.006,39.7622
"17th & Tejon","2701 17th St.","Denver, CO 80211",-105.011,39.7616
"32nd & Clay","3199 Clay St","Denver, CO 80211",-105.021,39.762
"32nd & Julian","3199 Julian St","Denver, CO 80211",-105.032,39.7621
"16th & Boulder","1615 Boulder St","Denver, CO 80211",-105.01,39.7597
"29th & Zuni","2417 W 29th Ave","Denver, CO 80211",-105.017,39.7586
"23rd & Clay","2301 Clay St","Denver, CO 80211",-105.021,39.7515
"16th & Platte","1601 Platte St","Denver, CO 80202",-105.008,39.758
"REI","1416 Platte St","Denver, CO 80202",-105.01,39.7556
"16th & Little Raven","1600 Little Raven St.","Denver, CO 80202",-105.005,39.7549
"20th & Chestnut","2095 Chestnut Place","Denver, CO 80202",-104.998,39.758
"Union Station Light Rail at 17th","2050 17th St","Denver, CO 80202",-105.002,39.7545
"15th & Delgany","1515 Delgany St.","Denver, CO 80202",-105.004,39.7524
"Pepsi Center","1000 Chopper Circle","Denver, CO 80204",-105.008,39.7483
"4th & Walnut","318 Walnut St","Denver, CO 80204",-105.012,39.7423
"Decatur Federal Light Rail","2810 W Howard Pl.","Denver, CO 80204",-105.023,39.7382
"9th & Curtis","899 Curtis St","Denver, CO 80204",-105.004,39.7421
"19th & Wynkoop","1711 19th St.","Denver, CO 80202",-104.997,39.7557
"1450 Wazee","1450 Wazee St","Denver, CO 80202",-105.002,39.75
"17th & Blake","1509 17th St.","Denver, CO 80202",-104.998,39.7518
"Broadway & Walnut","2490 N. Broadway St","Denver, CO 80205",-104.987,39.7579
"22nd & Market","2200 Market St","Denver, CO 80205",-104.99,39.7558
"19th & Market","1899 Market St.","Denver, CO 80202",-104.995,39.7527
"Market Street Station","1610 Market Street","Denver, CO 80202",-104.998,39.75
"1350 Larimer","1350 Larimer St.","Denver, CO 80202",-105.001,39.7466
"17th & Larimer","1260 17th St.","Denver, CO 80202",-104.996,39.7499
"25th & Lawrence","2501 Lawrence St","Denver, CO 80205",-104.986,39.7569
"28th & Larimer","2751 Larimer St.","Denver, CO 80206",-104.983,39.7604
"33rd & Arapahoe","3310 Arapahoe Street","Denver, CO 80205",-104.975,39.7639
"18th & Arapahoe","1099 18th St","Denver, CO 80202",-104.992,39.7497
"15th & Curtis","1505 Curtis St","Denver, CO 80202",-104.996,39.7463
"14th & Stout","850 14th St.","Denver, CO 80202",-104.996,39.7443
"18th & California","1701 California St.","Denver, CO 80202",-104.99,39.7472
"Five Points","615 27th St.","Denver, CO 80205",-104.978,39.7549
"14th & Welton","700 14th St. ","Denver, CO 80202",-104.996,39.7425
"1550 Glenarm","1550 Glenarm","Denver, CO 80202",-104.991,39.7434
"Webb Building","201 W. Colfax","Denver, CO 80202",-104.99,39.7408
"15th & Cleveland","101 West Colfax Avenue","Denver, CO 80202",-104.988,39.7409
"16th & Broadway","1600 Broadway","Denver, CO 80202",-104.987,39.7422
"16th & Sherman","1612 Sherman St.","Denver , CO 80203",-104.985,39.7419
"Park Ave West & Tremont","370 Park Avenue West","Denver, CO 80205",-104.981,39.7495
"22nd & Pennsylvania","525 E. 20th Ave","Denver, CO 80218",-104.986,39.7478
"19th & Pearl","600 E. 19th Ave","Denver, CO 80203",-104.98,39.7462
"17th & Pearl","523 East 17th Ave","Denver, CO 80203",-104.98,39.7435
"17th & Downing","1100 East 17th Ave","Denver, CO 80218",-104.973,39.743
"1551 Lafayette","1551 Lafayette St","Denver, CO 80218",-104.971,39.741
"17th & Franklin","1550 E 17th Ave","Denver, CO 80218",-104.969,39.7429
"17th & Race","2001 East 17th Ave","Denver, CO 80206",-104.963,39.7434
"Colfax & Gaylord","1490 Gaylord St","Denver, CO 80206",-104.961,39.7398
"Colfax & Columbine","2451 East Colfax Ave","Denver, CO 80206",-104.958,39.7402
"Colfax & Steele","1509 Steele St","Denver, CO 80206",-104.95,39.7403
"Colfax & Garfield","1535 Garfield St.","Denver, CO 80206",-104.944,39.7408
"Denver Museum of Nature & Science","2001 Colorado Boulevard","Denver, CO 80205",-104.943,39.7476
"Denver Zoo","2300 Steele Street","Denver, CO 80205",-104.95,39.7493
"12th & Columbine","2504 East 12th Ave","Denver, CO 80206",-104.957,39.7351
"Denver Botanic Gardens","1051 York St.","Denver, CO 80206",-104.96,39.7331
"13th & Marion","1279 Marion St","Denver, CO 80218",-104.972,39.7367
"9th & Downing","920 Downing St","Denver, CO 80218",-104.973,39.7308
"11th & Emerson","900 E. 11th Ave","Denver, CO 80218",-104.976,39.7333
"13th & Pearl","1291 Pearl Street","Denver, CO 80203",-104.98,39.7367
"9th & Logan","899 Logan St","Denver, CO 80203",-104.983,39.7301
"7th & Grant","721 Grant St.","Denver, CO 80203",-104.984,39.7277
"12th & Sherman","1200 Sherman St.","Denver, CO 80203",-104.985,39.7353
"11th & Broadway","1085 Broadway St.","Denver, CO 80204",-104.988,39.7335
"Denver Public Library","10 W 14th Avenue Pkwy","Denver, CO 80204",-104.988,39.7373
"Denver Health","777 Bannock Street","Denver, CO 80204",-104.991,39.7281
"11th & Delaware","1095 Delaware St","Denver, CO 80204",-104.993,39.7338
"14th & Elati","1404 Elati St.","Denver, CO 80204",-104.994,39.7384
"13th & Speer","1301 Speer Blvd","Denver, CO 80204",-104.997,39.7371
"9th & Santa Fe","923 W. 9th Ave","Denver, CO 80204",-104.999,39.7307
"10th & Osage","1005 Osage St","Denver, CO 80204",-105.005,39.7322
"6th & Clarkson","745 E. 6th Ave","Denver, CO 80203",-104.978,39.7258
"1st & Broadway","99 Broadway St","Denver, CO 80202",-104.988,39.7183
"Bayaud & Pennsylvania","525 E. Bayaud Ave.","Denver, CO 80209",-104.981,39.7147
"Bayaud & Emerson","910 East Bayaud Ave","Denver, CO 80209",-104.977,39.7147
"3rd & Milwaukee","299 Milwaukee St","Denver, CO 80206",-104.953,39.7203
"Cherry Creek Mall","2900 Cherry Creek N Drive","Denver, CO 80206",-104.95,39.7135
"Ellsworth & Madison","30 S. Madison St.","Denver, CO 80209",-104.946,39.7157
"Louisiana / Pearl Light Rail","1280 S. Washington St","Denver, CO 80210",-104.979,39.6934
"Florida & S. Pearl","650 E. Florida Ave.","Denver, CO 80210",-104.98,39.6894
"Louisiana & Franklin","1700 E. Louisiana Ave","Denver, CO 80210",-104.966,39.6921
"Buchtel and High","1901 Buchtel Blvd S.","Denver, CO 80210",-104.964,39.6845
"DU Driscoll Center","2141 E. Evans Ave.","Denver, CO 80210",-104.963,39.6785
"14th & Ogden","1425 Ogden St","Denver, CO 80218",-104.975,39.7389
"2045 Franklin","2045 Franklin St.","Denver, CO 80205",-104.969,39.7476
"17th & Curtis","950 17th St","Denver, CO 80202",-104.994,39.7476
